,name,ageDuringRace,points
2129,Nico Hülkenberg,27,0.0
2130,Nico Hülkenberg,28,0.0
2131,Nico Hülkenberg,28,0.0
2132,Nico Hülkenberg,29,4.0
2133,Nico Hülkenberg,31,0.0
2134,Nico Hülkenberg,32,1.0
2135,Kimi Räikkönen,35,2.0
2136,Kimi Räikkönen,36,4.0
2137,Kimi Räikkönen,36,15.0
2138,Kimi Räikkönen,37,15.0
2139,Kimi Räikkönen,38,12.0
2140,Kimi Räikkönen,39,0.0
2141,Kimi Räikkönen,40,0.0
2142,Jean-Éric Vergne,24,0.0
2143,Daniil Kvyat,20,0.0
2144,Daniil Kvyat,21,10.0
2145,Daniil Kvyat,22,0.0
2146,Daniil Kvyat,23,0.0
2147,Daniil Kvyat,25,0.0
2148,Daniil Kvyat,26,4.0
2149,Sergio Pérez,24,1.0
2150,Sergio Pérez,25,15.0
2151,Sergio Pérez,26,2.0
2152,Sergio Pérez,27,8.0
2153,Sergio Pérez,28,1.0
2154,Sergio Pérez,29,6.0
2155,Sergio Pérez,30,12.0
2156,Adrian Sutil,31,0.0
2157,Esteban Gutiérrez,23,0.0
2158,Esteban Gutiérrez,24,0.0
2159,Max Chilton,23,0.0
2160,Romain Grosjean,28,0.0
2161,Romain Grosjean,29,0.0
2162,Romain Grosjean,30,4.0
2163,Romain Grosjean,31,0.0
2164,Romain Grosjean,32,0.0
2165,Romain Grosjean,33,0.0
2166,Romain Grosjean,34,0.0
2167,Pastor Maldonado,29,0.0
2168,Pastor Maldonado,30,6.0
2169,Marcus Ericsson,24,0.0
2170,Marcus Ericsson,25,0.0
2171,Marcus Ericsson,25,0.0
2172,Marcus Ericsson,26,0.0
2173,Marcus Ericsson,28,0.0
2174,Sebastian Vettel,27,4.0
2175,Sebastian Vettel,28,18.0
2176,Sebastian Vettel,28,0.0
2177,Sebastian Vettel,29,18.0
2178,Sebastian Vettel,31,15.0
2179,Sebastian Vettel,32,0.0
2180,Sebastian Vettel,33,0.0
2181,Lewis Hamilton,29,25.0
2182,Lewis Hamilton,30,25.0
2183,Lewis Hamilton,31,18.0
2184,Lewis Hamilton,32,12.0
2185,Lewis Hamilton,33,25.0
2186,Lewis Hamilton,34,26.0
2187,Lewis Hamilton,35,15.0
2188,Felipe Massa,33,0.0
2189,Felipe Massa,34,12.0
2190,Felipe Massa,35,10.0
2191,Felipe Massa,36,2.0
2192,Kamui Kobayashi,28,0.0
2193,Daniel Ricciardo,25,6.0
2194,Daniel Ricciardo,26,0.0
2195,Daniel Ricciardo,26,0.0
2196,Daniel Ricciardo,27,0.0
2197,Daniel Ricciardo,29,8.0
2198,Daniel Ricciardo,30,0.0
2199,Daniel Ricciardo,31,10.0
2200,Will Stevens,24,0.0
2202,Felipe Nasr,23,8.0
2203,Felipe Nasr,23,0.0
2204,Carlos Sainz,21,0.0
2205,Carlos Sainz,21,0.0
2206,Carlos Sainz,22,1.0
2207,Carlos Sainz,24,0.0
2208,Carlos Sainz,25,8.0
2209,Carlos Sainz,26,0.0
2210,Max Verstappen,18,1.0
2211,Max Verstappen,18,0.0
2212,Max Verstappen,19,10.0
2213,Max Verstappen,21,10.0
2214,Max Verstappen,22,12.0
2215,Max Verstappen,23,18.0
2216,Roberto Merhi,24,0.0
2218,Jolyon Palmer,25,0.0
2219,Jolyon Palmer,26,0.0
2220,Pascal Wehrlein,21,0.0
2221,Pascal Wehrlein,22,0.0
2222,Rio Haryanto,23,0.0
2223,Stoffel Vandoorne,25,0.0
2224,Stoffel Vandoorne,26,0.0
2225,Esteban Ocon,20,6.0
2226,Esteban Ocon,22,2.0
2227,Esteban Ocon,24,6.0
2228,Antonio Giovinazzi,25,0.0
2229,Antonio Giovinazzi,26,0.0
2230,Lance Stroll,18,0.0
2231,Lance Stroll,19,0.0
2232,Lance Stroll,20,0.0
2233,Lance Stroll,21,0.0
2234,Pierre Gasly,22,0.0
2235,Pierre Gasly,23,0.0
2236,Pierre Gasly,24,2.0
2237,Brendon Hartley,28,0.0
2238,Charles Leclerc,20,6.0
2239,Charles Leclerc,21,15.0
2240,Charles Leclerc,22,8.0
2241,Sergey Sirotkin,23,0.0
2242,Lando Norris,19,4.0
2243,Lando Norris,20,0.0
2244,Alexander Albon,23,10.0
2245,Alexander Albon,24,1.0
2246,George Russell,21,0.0
2247,George Russell,22,0.0
2248,Robert Kubica,34,0.0
2249,Nicholas Latifi,25,0.0
2251,Nico Rosberg,29,18.0
2252,Nico Rosberg,30,18.0
2253,Nico Rosberg,31,18.0
2254,Kevin Magnussen,22,4.0
2255,Kevin Magnussen,24,0.0
2256,Kevin Magnussen,25,0.0
2257,Kevin Magnussen,26,0.0
2258,Kevin Magnussen,27,0.0
2259,Jenson Button,34,0.0
2260,Jenson Button,35,8.0
2261,Jenson Button,36,2.0
2262,Fernando Alonso,33,8.0
2263,Fernando Alonso,34,0.0
2264,Fernando Alonso,35,10.0
2265,Fernando Alonso,36,0.0
2266,Fernando Alonso,37,0.0
2267,Valtteri Bottas,25,10.0
2268,Valtteri Bottas,26,0.0
2269,Valtteri Bottas,27,0.0
2270,Valtteri Bottas,28,10.0
2271,Valtteri Bottas,29,10.0
2272,Valtteri Bottas,30,25.0
2273,Nico Hülkenberg,27,0.0
2274,Nico Hülkenberg,28,0.0
2275,Nico Hülkenberg,29,0.0
2276,Nico Hülkenberg,30,0.0
2277,Nico Hülkenberg,31,8.0
2278,Nico Hülkenberg,32,2.0
2279,Kimi Räikkönen,35,0.0
2280,Kimi Räikkönen,36,0.0
2281,Kimi Räikkönen,37,0.0
2282,Kimi Räikkönen,38,15.0
2283,Kimi Räikkönen,39,25.0
2284,Kimi Räikkönen,40,0.0
2285,Jean-Éric Vergne,24,1.0
2286,Daniil Kvyat,20,0.0
2287,Daniil Kvyat,21,0.0
2288,Daniil Kvyat,22,0.0
2289,Daniil Kvyat,23,1.0
2290,Daniil Kvyat,25,0.0
2291,Sergio Pérez,24,0.0
2292,Sergio Pérez,25,10.0
2293,Sergio Pérez,26,4.0
2294,Sergio Pérez,27,4.0
2295,Sergio Pérez,28,4.0
2296,Sergio Pérez,29,1.0
2297,Adrian Sutil,31,0.0
2298,Esteban Gutiérrez,23,0.0
2299,Esteban Gutiérrez,25,0.0
2300,Romain Grosjean,28,0.0
2301,Romain Grosjean,29,0.0
2302,Romain Grosjean,30,1.0
2303,Romain Grosjean,31,0.0
2304,Romain Grosjean,32,0.0
2305,Romain Grosjean,33,0.0
2306,Pastor Maldonado,29,2.0
2307,Pastor Maldonado,30,4.0
2308,Marcus Ericsson,25,0.0
2309,Marcus Ericsson,26,0.0
2310,Marcus Ericsson,27,0.0
2311,Marcus Ericsson,28,1.0
2312,Sebastian Vettel,27,6.0
2313,Sebastian Vettel,28,15.0
2314,Sebastian Vettel,29,12.0
2315,Sebastian Vettel,30,18.0
2316,Sebastian Vettel,31,12.0
2317,Sebastian Vettel,32,0.0
2318,Lewis Hamilton,29,25.0
2319,Lewis Hamilton,30,25.0
2320,Lewis Hamilton,31,25.0
2321,Lewis Hamilton,32,25.0
2322,Lewis Hamilton,33,15.0
2323,Lewis Hamilton,34,18.0
2324,Felipe Massa,33,12.0
2325,Felipe Massa,34,0.0
2326,Felipe Massa,35,6.0
2327,Felipe Massa,36,2.0
2328,Daniel Ricciardo,25,15.0
2329,Daniel Ricciardo,26,1.0
2330,Daniel Ricciardo,27,15.0
2331,Daniel Ricciardo,28,0.0
2332,Daniel Ricciardo,29,0.0
2333,Daniel Ricciardo,30,8.0
2334,Will Stevens,24,0.0
2336,Felipe Nasr,23,2.0
2337,Felipe Nasr,24,0.0
2338,Carlos Sainz,21,6.0
2339,Carlos Sainz,22,8.0
2340,Carlos Sainz,23,6.0
2341,Carlos Sainz,24,6.0
2342,Carlos Sainz,25,4.0
2343,Max Verstappen,18,12.0
2344,Max Verstappen,19,0.0
2345,Max Verstappen,20,12.0
2346,Max Verstappen,21,18.0
2347,Max Verstappen,22,15.0
2348,Alexander Rossi,24,0.0
2350,Jolyon Palmer,25,0.0
2351,Pascal Wehrlein,22,0.0
2352,Pascal Wehrlein,23,0.0
2353,Stoffel Vandoorne,25,0.0
2354,Stoffel Vandoorne,26,0.0
2355,Esteban Ocon,20,0.0
2356,Esteban Ocon,21,8.0
2357,Esteban Ocon,22,0.0
2358,Antonio Giovinazzi,25,0.0
2359,Lance Stroll,18,0.0
2360,Lance Stroll,19,0.0
2361,Lance Stroll,21,0.0
2362,Pierre Gasly,22,0.0
2363,Pierre Gasly,23,0.0
2364,Brendon Hartley,27,0.0
2365,Brendon Hartley,28,2.0
2366,Charles Leclerc,21,0.0
2367,Charles Leclerc,22,13.0
2368,Sergey Sirotkin,23,0.0
2369,Lando Norris,19,6.0
2370,Alexander Albon,23,10.0
2371,George Russell,21,0.0
2372,Robert Kubica,34,0.0
2374,Nico Rosberg,29,25.0
2375,Nico Rosberg,30,25.0
2376,Nico Rosberg,31,18.0
2377,Kevin Magnussen,22,2.0
2378,Kevin Magnussen,24,0.0
2379,Kevin Magnussen,25,0.0
