,season,name,fault
795,2018,Stoffel Vandoorne,1
796,2017,Esteban Ocon,1
797,2018,Esteban Ocon,1
798,2021,Esteban Ocon,1
799,2019,Antonio Giovinazzi,1
800,2021,Antonio Giovinazzi,1
802,2018,Lance Stroll,1
803,2019,Lance Stroll,1
804,2021,Lance Stroll,1
805,2018,Pierre Gasly,1
806,2019,Pierre Gasly,1
807,2021,Pierre Gasly,1
808,2018,Brendon Hartley,0
809,2018,Charles Leclerc,0
810,2019,Charles Leclerc,0
812,2018,Sergey Sirotkin,1
813,2019,Lando Norris,1
814,2021,Lando Norris,1
815,2019,Alexander Albon,1
816,2019,George Russell,1
817,2021,George Russell,1
818,2019,Robert Kubica,1
819,2021,Nicholas Latifi,1
820,2021,Yuki Tsunoda,1
821,2021,Mick Schumacher,1
822,2021,Nikita Mazepin,1
823,2014,Nico Rosberg,1
824,2015,Nico Rosberg,1
825,2016,Nico Rosberg,1
826,2014,Kevin Magnussen,1
827,2016,Kevin Magnussen,1
828,2017,Kevin Magnussen,1
829,2018,Kevin Magnussen,1
830,2019,Kevin Magnussen,1
831,2014,Jenson Button,1
832,2015,Jenson Button,0
834,2014,Fernando Alonso,1
836,2016,Fernando Alonso,1
839,2014,Valtteri Bottas,1
840,2015,Valtteri Bottas,1
841,2016,Valtteri Bottas,1
842,2017,Valtteri Bottas,1
843,2018,Valtteri Bottas,1
844,2019,Valtteri Bottas,1
845,2014,Nico Hülkenberg,1
846,2015,Nico Hülkenberg,1
847,2016,Nico Hülkenberg,1
848,2017,Nico Hülkenberg,1
849,2018,Nico Hülkenberg,1
850,2019,Nico Hülkenberg,1
851,2014,Kimi Räikkönen,1
852,2015,Kimi Räikkönen,1
853,2016,Kimi Räikkönen,1
854,2017,Kimi Räikkönen,1
855,2018,Kimi Räikkönen,1
856,2019,Kimi Räikkönen,1
857,2014,Jean-Éric Vergne,1
859,2015,Daniil Kvyat,1
860,2016,Daniil Kvyat,1
862,2019,Daniil Kvyat,1
863,2014,Sergio Pérez,0
864,2015,Sergio Pérez,1
865,2016,Sergio Pérez,1
866,2017,Sergio Pérez,1
867,2018,Sergio Pérez,1
868,2019,Sergio Pérez,1
869,2014,Adrian Sutil,1
871,2016,Esteban Gutiérrez,1
872,2014,Max Chilton,0
873,2014,Jules Bianchi,0
874,2014,Romain Grosjean,0
875,2015,Romain Grosjean,1
876,2016,Romain Grosjean,1
877,2017,Romain Grosjean,1
878,2018,Romain Grosjean,1
879,2019,Romain Grosjean,1
881,2015,Pastor Maldonado,1
883,2015,Marcus Ericsson,1
884,2016,Marcus Ericsson,1
885,2017,Marcus Ericsson,1
886,2018,Marcus Ericsson,1
887,2014,Sebastian Vettel,1
888,2015,Sebastian Vettel,1
889,2016,Sebastian Vettel,1
890,2017,Sebastian Vettel,1
891,2018,Sebastian Vettel,1
892,2019,Sebastian Vettel,1
894,2015,Lewis Hamilton,1
895,2016,Lewis Hamilton,1
896,2017,Lewis Hamilton,1
897,2018,Lewis Hamilton,1
898,2019,Lewis Hamilton,1
899,2014,Felipe Massa,0
900,2015,Felipe Massa,1
901,2016,Felipe Massa,0
902,2017,Felipe Massa,0
904,2014,Daniel Ricciardo,1
905,2015,Daniel Ricciardo,1
906,2016,Daniel Ricciardo,1
907,2017,Daniel Ricciardo,1
908,2018,Daniel Ricciardo,1
909,2019,Daniel Ricciardo,1
910,2015,Will Stevens,1
911,2015,Felipe Nasr,1
