,season,constructor,fault
301,2021,mercedes,0
302,2014,williams,0
303,2015,williams,0
304,2016,williams,0
305,2017,williams,0
306,2014,caterham,0
307,2014,red_bull,0
308,2015,red_bull,0
309,2016,red_bull,0
310,2017,red_bull,0
311,2018,red_bull,1
312,2019,renault,1
313,2020,renault,0
314,2020,renault,0
315,2021,mclaren,0
316,2015,manor,0
317,2015,alfa,0
318,2016,alfa,0
319,2015,alphatauri,1
322,2018,renault,0
324,2020,mclaren,0
325,2020,mclaren,0
326,2021,ferrari,0
327,2015,alphatauri,1
328,2016,alphatauri,0
329,2017,red_bull,1
331,2019,red_bull,0
332,2020,red_bull,0
334,2021,red_bull,0
335,2015,manor,0
336,2016,renault,1
337,2017,renault,0
338,2016,manor,0
339,2017,alfa,0
340,2016,manor,0
341,2016,mclaren,0
342,2017,mclaren,1
343,2018,mclaren,0
344,2017,racing_point,0
345,2018,racing_point,0
346,2020,renault,0
347,2020,renault,0
348,2021,renault,0
349,2019,alfa,0
350,2020,alfa,0
351,2020,alfa,0
352,2021,alfa,0
354,2018,williams,0
355,2019,racing_point,0
357,2020,racing_point,0
358,2021,racing_point,0
359,2018,alphatauri,0
360,2019,red_bull,0
361,2020,alphatauri,0
362,2020,alphatauri,0
364,2018,alphatauri,0
365,2018,alfa,0
366,2019,ferrari,0
367,2020,ferrari,0
369,2021,ferrari,0
370,2018,williams,0
371,2019,mclaren,0
372,2020,mclaren,0
373,2020,mclaren,0
374,2021,mclaren,0
375,2019,alphatauri,0
376,2020,red_bull,0
377,2020,red_bull,0
378,2019,williams,0
379,2020,williams,0
380,2020,mercedes,0
381,2021,williams,0
382,2019,williams,0
383,2020,williams,0
384,2020,williams,1
386,2020,williams,0
387,2020,haas,0
388,2021,alphatauri,0
389,2021,haas,0
391,2014,mercedes,0
392,2015,mercedes,0
393,2016,mercedes,0
394,2014,mclaren,0
395,2016,renault,0
396,2017,haas,0
397,2018,haas,0
398,2019,haas,0
399,2014,mclaren,0
400,2015,mclaren,0
401,2016,mclaren,0
402,2014,ferrari,0
403,2015,mclaren,0
404,2016,mclaren,0
405,2017,mclaren,1
406,2018,mclaren,0
407,2014,williams,0
408,2015,williams,0
409,2016,williams,0
410,2017,mercedes,0
411,2018,mercedes,0
412,2019,mercedes,0
413,2014,racing_point,0
414,2015,racing_point,1
415,2016,racing_point,0
416,2017,renault,0
417,2018,renault,0
418,2019,renault,1
419,2014,ferrari,0
420,2015,ferrari,0
421,2016,ferrari,0
422,2017,ferrari,0
423,2018,ferrari,0
424,2019,alfa,0
425,2014,alphatauri,0
426,2014,alphatauri,0
427,2015,red_bull,1
428,2016,red_bull,0
429,2017,alphatauri,1
431,2014,racing_point,0
432,2015,racing_point,0
433,2016,racing_point,0
434,2017,racing_point,0
435,2018,racing_point,0
436,2019,racing_point,0
437,2014,alfa,1
438,2014,alfa,0
439,2016,haas,0
440,2014,manor,0
441,2014,manor,0
442,2014,renault,1
443,2015,renault,0
444,2016,haas,0
445,2017,haas,0
446,2018,haas,0
