,season,constructor,fault
1317,2019,mclaren,0
1318,2020,mclaren,0
1319,2020,mclaren,0
1320,2021,mclaren,0
1321,2019,alphatauri,0
1322,2020,red_bull,0
1323,2020,red_bull,0
1324,2019,williams,0
1325,2020,williams,0
1326,2020,williams,0
1327,2021,williams,0
1328,2019,williams,0
1329,2020,williams,0
1330,2020,williams,0
1331,2021,williams,0
1332,2021,alphatauri,0
1333,2021,haas,0
1334,2021,haas,0
1335,2014,mercedes,0
1336,2016,mercedes,0
1337,2014,mclaren,0
1338,2016,renault,0
1339,2018,haas,0
1340,2019,haas,0
1341,2014,mclaren,0
1342,2016,mclaren,0
1343,2014,ferrari,0
1344,2016,mclaren,0
1346,2014,williams,0
1347,2016,williams,0
1348,2018,mercedes,0
1350,2014,racing_point,0
1351,2016,racing_point,0
1352,2018,renault,0
1354,2014,ferrari,0
1355,2016,ferrari,0
1356,2018,ferrari,0
1357,2019,alfa,0
1358,2014,alphatauri,0
1359,2014,alphatauri,1
1360,2016,alphatauri,0
1361,2019,alphatauri,0
1362,2014,racing_point,0
1363,2016,racing_point,0
1364,2018,racing_point,0
1366,2014,alfa,1
1367,2014,alfa,0
1368,2016,haas,0
1369,2014,manor,0
1370,2014,manor,0
1371,2014,renault,1
1372,2016,haas,0
1373,2018,haas,0
1374,2019,haas,0
1375,2014,renault,0
1376,2014,caterham,0
1377,2016,alfa,0
1378,2018,alfa,0
1379,2014,red_bull,0
1380,2016,ferrari,0
1382,2019,ferrari,0
1383,2014,mercedes,0
1384,2016,mercedes,0
1385,2018,mercedes,0
1386,2019,mercedes,0
1388,2016,williams,1
1389,2014,caterham,0
1390,2014,red_bull,0
1391,2016,red_bull,0
1392,2018,red_bull,1
1393,2019,renault,1
1394,2016,alfa,1
1395,2016,alphatauri,0
1396,2018,renault,0
1397,2019,mclaren,0
1398,2016,red_bull,0
1399,2018,red_bull,0
1400,2019,red_bull,0
1401,2016,renault,0
1402,2016,manor,0
1403,2016,manor,0
1404,2018,mclaren,0
1405,2018,racing_point,0
1406,2019,alfa,0
1407,2018,williams,1
1408,2019,racing_point,0
1409,2018,alphatauri,0
1411,2018,alphatauri,0
1412,2018,alfa,0
1414,2018,williams,1
1415,2019,mclaren,1
1416,2019,alphatauri,0
1417,2019,williams,0
1418,2019,williams,0
1419,2014,mercedes,0
1420,2015,mercedes,0
1421,2016,mercedes,0
1422,2014,mclaren,0
1423,2016,renault,0
1424,2017,haas,0
1425,2018,haas,0
1426,2019,haas,0
1427,2020,haas,0
1428,2014,mclaren,0
1429,2015,mclaren,0
1430,2016,mclaren,1
1431,2014,ferrari,0
1432,2015,mclaren,0
1433,2016,mclaren,0
1434,2017,mclaren,0
1435,2018,mclaren,0
1436,2014,williams,0
1437,2015,williams,0
1438,2016,williams,0
1439,2017,mercedes,0
1440,2018,mercedes,0
1441,2019,mercedes,0
1442,2020,mercedes,0
1445,2016,racing_point,0
1446,2017,renault,1
1447,2018,renault,0
1448,2019,renault,0
1449,2014,ferrari,0
1450,2015,ferrari,1
1451,2016,ferrari,0
1452,2017,ferrari,0
1453,2018,ferrari,0
1454,2019,alfa,0
1455,2020,alfa,0
1456,2014,alphatauri,0
1457,2014,alphatauri,0
1458,2015,red_bull,0
1459,2016,alphatauri,0
1460,2017,alphatauri,0
1461,2019,alphatauri,0
1462,2020,alphatauri,0
1464,2015,racing_point,1
1465,2016,racing_point,0
1466,2017,racing_point,0
1467,2018,racing_point,0
1468,2019,racing_point,0
1469,2020,racing_point,0
1470,2014,alfa,0
1472,2016,haas,0
1473,2014,manor,0
1474,2014,manor,0
1476,2015,renault,0
1477,2016,haas,0
1478,2017,haas,1
1479,2018,haas,0
1480,2019,haas,1
1481,2020,haas,0
1482,2014,renault,0
1483,2015,renault,0
1485,2015,alfa,0
1486,2016,alfa,0
1487,2017,alfa,0
1488,2018,alfa,0
1489,2014,red_bull,0
1490,2015,ferrari,0
1491,2016,ferrari,0
1492,2017,ferrari,0
1493,2018,ferrari,0
1494,2019,ferrari,0
1495,2020,ferrari,0
1496,2014,mercedes,0
1497,2015,mercedes,0
1498,2016,mercedes,0
1499,2017,mercedes,0
1500,2018,mercedes,0
1501,2019,mercedes,0
1502,2020,mercedes,0
1503,2014,williams,0
1504,2015,williams,0
1505,2016,williams,0
1507,2014,red_bull,0
1508,2015,red_bull,0
1509,2016,red_bull,0
1511,2018,red_bull,0
1512,2019,renault,0
1513,2020,renault,0
1514,2015,manor,0
1515,2015,alfa,0
1516,2016,alfa,0
1517,2015,alphatauri,1
1518,2016,alphatauri,0
1519,2017,alphatauri,0
1520,2018,renault,0
1521,2019,mclaren,0
1522,2020,mclaren,0
1523,2015,alphatauri,0
1524,2016,red_bull,0
1525,2017,red_bull,0
1526,2018,red_bull,1
1527,2019,red_bull,0
1528,2020,red_bull,0
1529,2015,manor,0
1530,2016,renault,0
1531,2017,renault,0
1532,2016,manor,0
1533,2017,alfa,0
1534,2016,manor,0
1535,2017,mclaren,0
1536,2018,mclaren,1
1537,2017,racing_point,0
1538,2018,racing_point,0
1539,2020,renault,0
1540,2019,alfa,0
1541,2020,alfa,0
1542,2017,williams,0
1543,2018,williams,0
1544,2019,racing_point,0
1545,2020,racing_point,0
1546,2017,williams,1
1547,2018,alphatauri,0
1548,2019,red_bull,0
1549,2020,alphatauri,1
1550,2018,alphatauri,0
1551,2018,alfa,1
1552,2019,ferrari,0
1553,2020,ferrari,0
1554,2018,williams,0
1555,2019,mclaren,0
1556,2020,mclaren,0
1557,2019,alphatauri,0
1558,2020,red_bull,0
1559,2019,williams,0
1560,2020,williams,0
1561,2019,williams,0
1562,2020,williams,0
1563,2021,,1
1564,2014,mercedes,0
1565,2015,mercedes,0
1566,2016,mercedes,0
1567,2014,mclaren,0
1569,2017,haas,0
1570,2018,haas,0
1571,2019,haas,0
1572,2020,haas,0
1573,2014,mclaren,0
1574,2015,mclaren,0
1576,2014,ferrari,0
1577,2015,mclaren,0
1578,2016,mclaren,0
1579,2017,mclaren,1
1581,2014,williams,0
1582,2015,williams,1
1583,2016,williams,0
1584,2017,mercedes,0
1585,2018,mercedes,0
1586,2019,mercedes,0
1587,2020,mercedes,0
1588,2014,racing_point,0
1589,2015,racing_point,1
1590,2016,racing_point,0
1591,2017,renault,0
1593,2019,renault,0
1594,2014,ferrari,0
1595,2015,ferrari,0
1596,2016,ferrari,0
1597,2017,ferrari,0
1598,2018,ferrari,1
1599,2019,alfa,0
1600,2020,alfa,0
1601,2014,alphatauri,0
1602,2014,alphatauri,0
1603,2015,red_bull,0
1604,2016,alphatauri,0
1605,2017,alphatauri,0
1606,2019,alphatauri,0
1607,2020,alphatauri,0
1608,2014,racing_point,0
1609,2015,racing_point,0
1610,2016,racing_point,0
1611,2017,racing_point,1
1612,2018,racing_point,0
1613,2019,racing_point,0
1614,2020,racing_point,0
1615,2014,alfa,0
1616,2014,alfa,0
1617,2016,haas,0
1618,2014,manor,0
1619,2014,manor,1
1621,2015,renault,0
1622,2016,haas,0
1623,2017,haas,0
1624,2018,haas,0
1625,2019,haas,0
1626,2020,haas,0
1627,2014,renault,1
1628,2015,renault,1
1629,2014,caterham,0
1630,2015,alfa,0
1631,2016,alfa,1
1632,2017,alfa,0
1633,2018,alfa,0
1634,2014,red_bull,0
1636,2016,ferrari,0
1637,2017,ferrari,0
1638,2018,ferrari,0
1639,2019,ferrari,0
1640,2020,ferrari,0
1642,2015,mercedes,0
1643,2016,mercedes,0
1644,2017,mercedes,0
1645,2018,mercedes,0
1646,2019,mercedes,0
1647,2020,mercedes,0
1648,2014,williams,0
1649,2015,williams,0
1650,2016,williams,0
1651,2017,williams,0
1652,2014,red_bull,0
1653,2015,red_bull,1
1654,2016,red_bull,0
1655,2017,red_bull,0
1657,2019,renault,0
1658,2020,renault,0
1659,2014,caterham,1
1660,2015,manor,0
1661,2015,manor,1
1662,2015,alfa,0
1663,2016,alfa,0
1664,2015,alphatauri,1
1666,2017,alphatauri,0
1667,2018,renault,0
1668,2019,mclaren,1
1669,2020,mclaren,1
1670,2015,alphatauri,0
1671,2016,red_bull,0
1672,2017,red_bull,1
1673,2018,red_bull,0
1675,2020,red_bull,0
1676,2015,manor,0
1677,2015,manor,1
1678,2016,renault,0
1679,2017,renault,0
1682,2017,mclaren,0
1683,2018,mclaren,0
1684,2016,manor,0
1685,2017,racing_point,0
1686,2018,racing_point,0
1687,2020,renault,0
1690,2017,williams,0
1691,2018,williams,0
1692,2019,racing_point,0
1693,2020,racing_point,0
1694,2018,alphatauri,0
1695,2019,alphatauri,0
1696,2020,alphatauri,0
1697,2018,alphatauri,0
1699,2019,ferrari,0
1700,2020,ferrari,0
1701,2018,williams,0
1702,2019,mclaren,1
1703,2020,mclaren,0
1704,2019,red_bull,0
1705,2020,red_bull,0
1706,2019,williams,0
1707,2020,williams,1
1708,2019,williams,0
1709,2020,williams,0
1710,2021,,1
1711,2014,mercedes,0
1712,2015,mercedes,0
1713,2016,mercedes,0
1714,2014,mclaren,0
1715,2016,renault,0
1716,2017,haas,0
1717,2018,haas,0
1718,2019,haas,1
1719,2020,haas,1
1720,2014,mclaren,0
1721,2015,mclaren,0
1722,2016,mclaren,0
1723,2014,ferrari,1
1724,2015,mclaren,0
1725,2016,mclaren,0
1726,2017,mclaren,1
1727,2018,mclaren,1
1728,2014,williams,0
1729,2015,williams,0
1730,2016,williams,0
1731,2017,mercedes,0
1732,2018,mercedes,0
1733,2019,mercedes,0
1734,2020,mercedes,0
1735,2014,racing_point,0
1736,2015,racing_point,0
1737,2016,racing_point,0
1738,2017,renault,0
1739,2018,renault,0
1740,2019,renault,0
1741,2014,ferrari,0
1742,2015,ferrari,0
1743,2016,ferrari,0
1744,2017,ferrari,0
1745,2018,ferrari,0
1746,2019,alfa,0
1747,2020,alfa,0
1748,2014,alphatauri,0
1749,2014,alphatauri,0
1750,2015,red_bull,0
1751,2016,alphatauri,1
1752,2017,alphatauri,0
1753,2019,alphatauri,1
1754,2020,alphatauri,0
1755,2014,racing_point,0
1756,2015,racing_point,0
1757,2016,racing_point,0
1758,2017,racing_point,0
1759,2018,racing_point,0
1760,2019,racing_point,0
1761,2020,racing_point,0
1762,2014,alfa,0
1763,2014,alfa,0
1764,2016,haas,0
1766,2014,manor,0
1767,2014,renault,0
1769,2016,haas,0
1770,2017,haas,0
1772,2019,haas,0
1773,2020,haas,0
1774,2014,renault,0
1776,2014,caterham,0
1777,2015,alfa,0
1778,2016,alfa,0
1779,2017,alfa,1
1780,2018,alfa,0
1781,2014,red_bull,0
1782,2015,ferrari,0
1783,2016,ferrari,0
1784,2017,ferrari,0
1785,2018,ferrari,0
1786,2019,ferrari,0
1787,2020,ferrari,1
1788,2014,mercedes,0
1789,2015,mercedes,0
1790,2016,mercedes,0
1791,2017,mercedes,0
1792,2018,mercedes,0
1793,2019,mercedes,0
1794,2020,mercedes,0
1795,2014,williams,0
1796,2015,williams,0
1797,2016,williams,0
1798,2017,williams,0
1799,2014,caterham,0
1800,2014,red_bull,0
1801,2015,red_bull,0
1802,2016,red_bull,0
1803,2017,red_bull,0
1804,2018,red_bull,1
1805,2019,renault,0
1806,2020,renault,0
1807,2015,manor,0
1808,2015,alfa,0
1810,2015,alphatauri,0
1811,2016,alphatauri,0
1812,2017,alphatauri,0
1813,2018,renault,0
1814,2019,mclaren,1
1815,2020,mclaren,0
1816,2015,alphatauri,0
1817,2016,red_bull,0
1818,2017,red_bull,0
1819,2018,red_bull,0
1820,2019,red_bull,0
1821,2020,red_bull,1
1822,2015,manor,0
1824,2017,renault,1
1825,2016,manor,1
1826,2017,alfa,0
1827,2017,mclaren,1
1828,2018,mclaren,0
1829,2016,manor,0
1830,2017,racing_point,0
1831,2018,racing_point,0
1832,2020,renault,0
1833,2019,alfa,0
1834,2020,alfa,0
1835,2017,williams,0
1836,2018,williams,0
1837,2019,racing_point,0
1838,2020,racing_point,0
1839,2018,alphatauri,0
1840,2019,alphatauri,0
1841,2020,alphatauri,0
1842,2018,alphatauri,1
1843,2018,alfa,0
1844,2019,ferrari,0
1846,2018,williams,0
1847,2019,mclaren,0
1848,2020,mclaren,0
1849,2019,red_bull,0
1850,2020,red_bull,0
1851,2019,williams,0
1852,2020,williams,0
1853,2019,williams,0
1854,2020,williams,0
1855,2021,,1
1856,2014,mercedes,1
1857,2015,mercedes,0
1858,2016,mercedes,0
1859,2014,mclaren,0
1860,2016,renault,0
1861,2017,haas,1
1862,2018,haas,0
1863,2019,haas,0
1865,2015,mclaren,1
1866,2016,mclaren,1
1867,2014,ferrari,0
1868,2015,mclaren,1
1869,2016,mclaren,0
1871,2018,mclaren,0
1872,2014,williams,0
1873,2015,williams,0
1874,2016,williams,1
1875,2017,mercedes,0
1876,2018,mercedes,0
1877,2019,mercedes,0
1878,2014,racing_point,0
1881,2017,renault,1
1882,2018,renault,0
1883,2019,renault,0
1884,2014,ferrari,0
1885,2015,ferrari,0
1886,2016,ferrari,0
1888,2018,ferrari,0
1890,2014,alphatauri,0
1891,2014,alphatauri,0
1892,2015,red_bull,0
1893,2016,alphatauri,0
1895,2019,alphatauri,0
1896,2014,racing_point,0
1897,2015,racing_point,0
1898,2016,racing_point,0
1899,2017,racing_point,0
1900,2018,racing_point,0
1901,2019,racing_point,1
1902,2014,alfa,1
1903,2014,alfa,1
1904,2016,haas,0
1905,2014,manor,0
1906,2014,manor,0
1907,2014,renault,0
1910,2017,haas,0
1911,2018,haas,0
1912,2019,haas,0
1913,2014,renault,0
1914,2015,renault,0
1915,2014,caterham,0
1916,2015,alfa,0
1917,2016,alfa,0
1919,2018,alfa,0
1920,2014,red_bull,0
1921,2015,ferrari,0
1922,2016,ferrari,0
1924,2018,ferrari,0
1925,2019,ferrari,0
1926,2014,mercedes,0
1927,2015,mercedes,1
1928,2016,mercedes,0
1929,2017,mercedes,0
1930,2018,mercedes,0
1931,2019,mercedes,0
1932,2014,williams,0
1933,2015,williams,1
1934,2016,williams,0
1935,2017,williams,0
1936,2014,caterham,1
1937,2014,red_bull,0
1938,2015,red_bull,0
1939,2016,red_bull,0
1940,2017,red_bull,0
1941,2018,red_bull,0
1942,2019,renault,0
1943,2015,manor,0
1944,2015,alfa,0
1945,2016,alfa,0
1946,2015,alphatauri,0
1947,2016,alphatauri,0
1948,2017,alphatauri,0
1949,2018,renault,0
1950,2019,mclaren,0
1951,2015,alphatauri,0
1952,2016,red_bull,0
1954,2018,red_bull,0
1955,2019,red_bull,0
1956,2015,manor,0
1957,2016,renault,0
1958,2017,renault,0
1959,2016,manor,0
1960,2017,alfa,0
1961,2017,mclaren,0
1962,2018,mclaren,0
1963,2016,manor,0
1964,2017,racing_point,0
1966,2019,alfa,0
1967,2017,williams,0
1968,2018,williams,0
1969,2019,racing_point,0
1970,2018,alphatauri,0
1971,2019,alphatauri,0
1972,2018,alphatauri,0
1973,2018,alfa,0
1974,2019,ferrari,0
1975,2018,williams,0
1976,2019,mclaren,0
1977,2019,red_bull,0
1979,2019,williams,0
1980,2014,mercedes,0
1981,2015,mercedes,0
1982,2016,mercedes,0
1983,2014,mclaren,0
1984,2016,renault,0
1985,2017,haas,0
1987,2019,haas,0
1988,2014,mclaren,0
1989,2015,mclaren,0
1990,2016,mclaren,0
1991,2014,ferrari,1
1992,2015,mclaren,0
1993,2016,mclaren,0
1994,2017,mclaren,0
1995,2018,mclaren,0
1996,2014,williams,0
1997,2015,williams,0
1998,2016,williams,0
1999,2017,mercedes,0
2000,2018,mercedes,0
2001,2019,mercedes,0
2002,2014,racing_point,0
2003,2015,racing_point,0
2004,2016,racing_point,0
2006,2018,renault,1
2008,2014,ferrari,0
2009,2015,ferrari,0
2010,2016,ferrari,0
2011,2017,ferrari,0
2012,2018,ferrari,0
2013,2019,alfa,0
2014,2014,alphatauri,0
2015,2014,alphatauri,0
2016,2015,red_bull,0
2017,2016,alphatauri,0
2018,2019,alphatauri,0
2019,2014,racing_point,0
2020,2015,racing_point,0
2021,2016,racing_point,0
2022,2017,racing_point,0
2023,2018,racing_point,0
2024,2019,racing_point,0
2026,2014,alfa,0
2027,2016,haas,0
2028,2014,manor,0
2030,2014,renault,0
2031,2015,renault,0
2032,2016,haas,0
2033,2017,haas,0
2034,2018,haas,0
2035,2019,haas,0
2036,2014,renault,0
2037,2015,renault,0
2038,2014,caterham,0
2039,2015,alfa,0
2040,2016,alfa,0
2042,2018,alfa,0
2043,2014,red_bull,0
2044,2015,ferrari,0
2045,2016,ferrari,0
2046,2017,ferrari,1
2047,2018,ferrari,0
2048,2019,ferrari,0
2049,2014,mercedes,0
2050,2015,mercedes,0
2051,2016,mercedes,0
2052,2017,mercedes,0
2053,2018,mercedes,0
2054,2019,mercedes,0
2055,2014,williams,0
2056,2015,williams,0
2057,2016,williams,0
2058,2017,williams,0
2059,2014,caterham,0
2060,2014,red_bull,0
2061,2015,red_bull,0
2062,2016,red_bull,0
2063,2017,red_bull,0
2064,2018,red_bull,0
2066,2015,manor,0
2068,2016,alfa,0
2069,2015,alphatauri,0
2070,2016,alphatauri,0
2072,2018,renault,0
2073,2019,mclaren,0
2074,2015,alphatauri,0
2075,2016,red_bull,0
2076,2017,red_bull,0
2077,2018,red_bull,0
2078,2019,red_bull,1
2079,2015,manor,0
2080,2016,renault,0
2081,2017,renault,0
2082,2016,manor,0
2083,2017,alfa,0
2084,2017,mclaren,0
2085,2018,mclaren,0
2086,2016,manor,0
2087,2017,racing_point,0
2088,2018,racing_point,0
2089,2019,alfa,0
2090,2017,williams,1
2091,2018,williams,0
2092,2019,racing_point,0
2093,2017,alphatauri,0
2094,2018,alphatauri,0
2095,2019,alphatauri,0
2096,2018,alphatauri,0
2097,2018,alfa,1
2098,2019,ferrari,0
2099,2018,williams,0
2100,2019,mclaren,0
2101,2019,red_bull,0
2102,2019,williams,0
2103,2019,williams,0
2104,2021,,1
2105,2014,mercedes,0
2106,2015,mercedes,1
2107,2016,mercedes,0
2108,2014,mclaren,0
2109,2016,renault,0
2110,2017,haas,0
2111,2018,haas,0
2112,2019,haas,0
2113,2020,haas,0
2114,2014,mclaren,0
2115,2015,mclaren,0
2116,2016,mclaren,0
2117,2014,ferrari,0
2118,2015,mclaren,0
2119,2016,mclaren,0
2120,2017,mclaren,1
2121,2018,mclaren,0
2122,2014,williams,0
2124,2016,williams,0
2125,2017,mercedes,0
2126,2018,mercedes,0
2127,2019,mercedes,0
2128,2020,mercedes,0
2129,2014,racing_point,0
2132,2017,renault,0
2133,2018,renault,0
2134,2019,renault,0
2135,2014,ferrari,0
2136,2015,ferrari,0
2137,2016,ferrari,0
2138,2017,ferrari,0
2139,2018,ferrari,0
2140,2019,alfa,0
2141,2020,alfa,0
2142,2014,alphatauri,0
2143,2014,alphatauri,0
2144,2015,red_bull,0
2145,2016,red_bull,0
2146,2017,alphatauri,0
2147,2019,alphatauri,0
2148,2020,alphatauri,0
2149,2014,racing_point,0
2150,2015,racing_point,0
2151,2016,racing_point,0
2152,2017,racing_point,0
2153,2018,racing_point,0
2154,2019,racing_point,0
2155,2020,racing_point,0
2156,2014,alfa,0
2157,2014,alfa,0
2158,2016,haas,0
2159,2014,manor,1
2160,2014,renault,0
2162,2016,haas,0
2164,2018,haas,0
2166,2020,haas,0
2167,2014,renault,0
2168,2015,renault,0
2169,2014,caterham,0
2171,2016,alfa,0
2172,2017,alfa,0
2173,2018,alfa,0
2174,2014,red_bull,0
2175,2015,ferrari,0
2177,2017,ferrari,0
2178,2018,ferrari,0
2179,2019,ferrari,1
2180,2020,ferrari,0
2181,2014,mercedes,0
2182,2015,mercedes,0
2183,2016,mercedes,0
2184,2017,mercedes,0
2185,2018,mercedes,0
2186,2019,mercedes,0
2187,2020,mercedes,0
2188,2014,williams,0
2189,2015,williams,0
2190,2016,williams,0
2191,2017,williams,0
2192,2014,caterham,1
2193,2014,red_bull,0
2194,2015,red_bull,1
2195,2016,red_bull,0
2196,2017,red_bull,1
2197,2018,red_bull,0
2199,2020,renault,0
2200,2015,manor,0
2201,2015,manor,1
2202,2015,alfa,0
2203,2016,alfa,0
2204,2015,alphatauri,1
2205,2016,alphatauri,0
2206,2017,alphatauri,0
2207,2018,renault,0
2208,2019,mclaren,0
2210,2015,alphatauri,0
2211,2016,alphatauri,1
2212,2017,red_bull,0
2213,2018,red_bull,0
2214,2019,red_bull,0
2215,2020,red_bull,0
2216,2015,manor,0
2217,2015,manor,1
2218,2016,renault,0
2220,2016,manor,0
2221,2017,alfa,0
2223,2017,mclaren,0
2224,2018,mclaren,0
2225,2017,racing_point,0
2226,2018,racing_point,0
2227,2020,renault,0
2228,2019,alfa,0
2229,2020,alfa,0
2230,2017,williams,0
2231,2018,williams,0
2232,2019,racing_point,0
2234,2018,alphatauri,1
2235,2019,alphatauri,0
2236,2020,alphatauri,0
2237,2018,alphatauri,1
2238,2018,alfa,0
2239,2019,ferrari,0
2240,2020,ferrari,0
2241,2018,williams,0
2242,2019,mclaren,0
2243,2020,mclaren,0
2244,2019,red_bull,0
2245,2020,red_bull,0
2246,2019,williams,1
2247,2020,williams,0
2248,2019,williams,1
2249,2020,williams,0
2250,2021,,1
2251,2014,mercedes,0
2252,2015,mercedes,0
2253,2016,mercedes,0
2254,2014,mclaren,0
2255,2016,renault,0
2256,2017,haas,0
2258,2019,haas,1
2259,2014,mclaren,0
2260,2015,mclaren,0
2261,2016,mclaren,0
2262,2014,ferrari,0
2263,2015,mclaren,0
2264,2016,mclaren,0
2265,2017,mclaren,1
2267,2014,williams,0
2269,2016,williams,0
2270,2017,mercedes,0
2271,2018,mercedes,0
2272,2019,mercedes,0
2273,2014,racing_point,1
2276,2017,renault,1
2277,2018,renault,0
2278,2019,renault,0
2279,2014,ferrari,0
2280,2015,ferrari,1
2281,2016,ferrari,1
2282,2017,ferrari,0
2283,2018,ferrari,0
2284,2019,alfa,0
2285,2014,alphatauri,0
2286,2014,alphatauri,0
2288,2016,alphatauri,0
2289,2017,alphatauri,0
2290,2019,alphatauri,0
2292,2015,racing_point,0
2293,2016,racing_point,0
2294,2017,racing_point,0
2295,2018,racing_point,0
2296,2019,racing_point,0
2298,2014,alfa,0
2299,2016,haas,1
2300,2014,renault,0
2302,2016,haas,0
2303,2017,haas,0
2305,2019,haas,0
2306,2014,renault,0
2307,2015,renault,0
2309,2016,alfa,0
2310,2017,alfa,0
2311,2018,alfa,0
2312,2014,red_bull,0
2313,2015,ferrari,0
2314,2016,ferrari,0
2315,2017,ferrari,0
2316,2018,ferrari,0
2317,2019,ferrari,1
2318,2014,mercedes,0
2319,2015,mercedes,0
2320,2016,mercedes,0
2321,2017,mercedes,0
2322,2018,mercedes,0
2323,2019,mercedes,0
2324,2014,williams,0
2326,2016,williams,0
2327,2017,williams,0
2328,2014,red_bull,0
2329,2015,red_bull,0
2330,2016,red_bull,0
2331,2017,red_bull,1
2332,2018,red_bull,1
2333,2019,renault,0
2335,2015,manor,1
2336,2015,alfa,0
2337,2016,alfa,0
2338,2015,alphatauri,0
2339,2016,alphatauri,0
2340,2017,renault,0
2341,2018,renault,0
2342,2019,mclaren,0
2343,2015,alphatauri,0
2344,2016,red_bull,1
2345,2017,red_bull,0
2346,2018,red_bull,0
2347,2019,red_bull,0
2348,2015,manor,0
2349,2015,manor,1
2350,2016,renault,0
2351,2016,manor,0
2353,2017,mclaren,0
2354,2018,mclaren,0
2355,2016,manor,0
2356,2017,racing_point,0
2358,2019,alfa,0
2359,2017,williams,0
2360,2018,williams,0
2361,2019,racing_point,0
2362,2018,alphatauri,0
2363,2019,alphatauri,1
2364,2017,alphatauri,0
2365,2018,alphatauri,0
2367,2019,ferrari,0
2368,2018,williams,0
2369,2019,mclaren,0
2370,2019,red_bull,0
2371,2019,williams,0
2372,2019,williams,1
2373,2021,,1
2374,2014,mercedes,0
2375,2015,mercedes,0
2376,2016,mercedes,0
2377,2014,mclaren,0
2378,2016,renault,0
2380,2018,haas,0
2381,2019,haas,0
2382,2014,mclaren,0
2383,2015,mclaren,0
2384,2016,mclaren,0
2385,2014,ferrari,0
2386,2015,mclaren,0
2387,2016,mclaren,0
2388,2017,mclaren,0
2389,2018,mclaren,0
2390,2014,williams,0
2391,2015,williams,0
2392,2016,williams,0
2393,2017,mercedes,0
2394,2018,mercedes,0
2395,2019,mercedes,1
2396,2014,racing_point,0
2397,2015,racing_point,0
2398,2016,racing_point,0
2399,2017,renault,0
2400,2018,renault,1
2401,2019,renault,0
2402,2014,ferrari,0
2403,2015,ferrari,0
2405,2017,ferrari,0
2406,2018,ferrari,0
2407,2019,alfa,0
2408,2014,alphatauri,0
2409,2014,alphatauri,0
2410,2015,red_bull,0
2411,2016,alphatauri,0
2412,2019,alphatauri,0
2413,2014,racing_point,0
2414,2015,racing_point,0
2415,2016,racing_point,0
2416,2017,racing_point,0
2417,2018,racing_point,0
2418,2019,racing_point,0
2419,2014,alfa,0
2420,2014,alfa,0
2422,2014,renault,0
2423,2015,renault,0
2425,2017,haas,0
2426,2018,haas,0
2427,2019,haas,0
2428,2014,renault,0
2429,2015,renault,0
2430,2015,alfa,0
2432,2017,alfa,0
2434,2014,red_bull,0
2435,2015,ferrari,0
2436,2016,ferrari,0
2437,2017,ferrari,0
2438,2018,ferrari,0
2440,2014,mercedes,0
2441,2015,mercedes,0
2442,2016,mercedes,0
2443,2017,mercedes,0
2444,2018,mercedes,0
2445,2019,mercedes,0
2446,2014,williams,0
2449,2017,williams,0
2450,2014,red_bull,1
2451,2015,red_bull,0
2452,2016,red_bull,0
2453,2017,red_bull,0
2454,2018,red_bull,0
2455,2019,renault,0
2456,2015,manor,0
2457,2015,manor,1
2458,2015,alfa,0
2459,2016,alfa,0
2461,2016,alphatauri,0
2462,2017,renault,0
2463,2018,renault,0
2464,2019,mclaren,0
2465,2015,alphatauri,0
2466,2016,red_bull,0
2467,2017,red_bull,0
2468,2018,red_bull,0
2469,2019,red_bull,0
2470,2015,manor,0
2471,2015,manor,1
2473,2016,manor,0
2474,2017,alfa,0
2476,2018,mclaren,0
2477,2016,manor,0
2479,2018,racing_point,0
2480,2019,alfa,0
2481,2017,williams,0
2482,2018,williams,0
2483,2019,racing_point,1
2484,2017,alphatauri,0
2485,2018,alphatauri,0
2486,2019,alphatauri,0
2487,2017,alphatauri,1
2488,2018,alphatauri,0
2489,2018,alfa,0
2491,2018,williams,0
2492,2019,mclaren,0
2493,2019,red_bull,0
2494,2019,williams,0
2495,2019,williams,0
2496,2021,,1
2497,2014,mercedes,0
2498,2015,mercedes,0
2499,2016,mercedes,0
2500,2014,mclaren,0
2501,2016,renault,1
2502,2017,haas,0
2503,2018,haas,0
2504,2019,haas,0
2505,2020,haas,0
2506,2014,mclaren,0
2507,2015,mclaren,0
2508,2016,mclaren,1
2509,2014,ferrari,0
2510,2015,mclaren,0
2511,2016,mclaren,0
2512,2017,mclaren,0
2513,2018,mclaren,0
2514,2014,williams,0
2515,2015,williams,0
2516,2016,williams,1
2517,2017,mercedes,0
2518,2018,mercedes,0
2519,2019,mercedes,0
2520,2020,mercedes,0
2521,2014,racing_point,0
2522,2015,racing_point,0
2523,2016,racing_point,0
2524,2017,renault,0
2526,2019,renault,0
2527,2014,ferrari,0
2528,2015,ferrari,0
2529,2016,ferrari,0
2530,2017,ferrari,0
2531,2018,ferrari,1
2532,2019,alfa,0
2533,2020,alfa,0
2534,2014,alphatauri,0
2535,2014,alphatauri,1
2536,2015,red_bull,0
2537,2016,alphatauri,1
2538,2019,alphatauri,0
2539,2020,alphatauri,0
2540,2014,racing_point,0
2541,2015,racing_point,0
2542,2016,racing_point,0
2543,2017,racing_point,0
2544,2018,racing_point,0
2545,2019,racing_point,0
2546,2020,racing_point,1
2547,2014,alfa,0
2548,2014,alfa,0
2549,2016,haas,0
2550,2014,renault,0
2551,2015,renault,0
