,constructor,fault
413,racing_point,1
414,racing_point,0
415,racing_point,1
416,renault,1
417,renault,1
418,renault,0
419,ferrari,1
420,ferrari,1
421,ferrari,1
422,ferrari,1
423,ferrari,1
424,alfa,1
425,alphatauri,1
426,alphatauri,1
427,red_bull,0
428,red_bull,1
429,alphatauri,0
431,racing_point,1
432,racing_point,1
433,racing_point,1
434,racing_point,1
435,racing_point,1
436,racing_point,1
437,alfa,0
438,alfa,1
439,haas,1
440,manor,1
441,manor,1
442,renault,0
443,renault,1
444,haas,1
445,haas,1
446,haas,1
447,haas,1
448,renault,1
449,renault,0
450,caterham,1
451,alfa,1
452,alfa,1
453,alfa,1
454,alfa,1
455,red_bull,1
456,ferrari,1
457,ferrari,1
458,ferrari,1
459,ferrari,1
460,ferrari,1
461,mercedes,1
462,mercedes,1
463,mercedes,1
464,mercedes,1
465,mercedes,1
466,mercedes,1
467,williams,1
468,williams,1
469,williams,1
470,williams,1
471,caterham,1
472,red_bull,1
473,red_bull,1
474,red_bull,1
475,red_bull,1
476,red_bull,1
477,renault,1
478,manor,1
479,alfa,1
480,alfa,1
481,alphatauri,1
482,alphatauri,1
483,alphatauri,1
484,renault,1
485,mclaren,1
486,alphatauri,0
487,alphatauri,1
488,red_bull,1
489,red_bull,1
490,red_bull,1
491,manor,1
492,renault,1
493,renault,1
494,manor,1
495,manor,1
496,mclaren,0
497,mclaren,1
498,racing_point,1
499,racing_point,1
501,alfa,1
503,williams,1
504,racing_point,1
505,alphatauri,1
506,red_bull,1
508,alfa,1
509,ferrari,1
510,williams,1
512,alphatauri,1
513,williams,1
514,williams,1
515,mercedes,1
516,mercedes,1
518,mclaren,1
519,renault,1
520,haas,1
521,haas,1
522,haas,1
523,haas,1
524,mclaren,1
525,mclaren,1
526,mclaren,1
527,ferrari,1
528,mclaren,0
529,mclaren,0
530,mclaren,1
531,mclaren,1
532,renault,1
533,williams,1
534,williams,1
535,williams,1
536,mercedes,0
537,mercedes,1
538,mercedes,1
539,mercedes,1
540,mercedes,1
541,racing_point,1
542,racing_point,1
543,racing_point,0
544,renault,1
546,renault,1
547,ferrari,1
548,ferrari,1
549,ferrari,1
551,ferrari,0
552,alfa,1
553,alfa,1
554,alfa,1
555,alphatauri,0
556,alphatauri,1
557,red_bull,1
558,alphatauri,1
559,alphatauri,1
560,alphatauri,1
561,alphatauri,1
562,racing_point,1
563,racing_point,1
564,racing_point,1
565,racing_point,1
566,racing_point,1
567,racing_point,1
568,racing_point,1
569,red_bull,1
570,alfa,1
571,alfa,1
572,haas,1
573,manor,1
574,manor,1
575,renault,1
576,renault,1
577,haas,0
578,haas,1
580,haas,1
581,haas,1
582,renault,1
584,caterham,1
585,alfa,1
586,alfa,1
587,alfa,1
588,alfa,1
589,red_bull,1
590,ferrari,1
591,ferrari,1
592,ferrari,1
593,ferrari,1
594,ferrari,1
595,ferrari,1
596,racing_point,1
597,mercedes,1
598,mercedes,1
600,mercedes,1
601,mercedes,1
602,mercedes,1
603,mercedes,1
604,mercedes,1
605,williams,1
606,williams,1
607,williams,1
608,williams,1
609,caterham,0
610,red_bull,1
611,red_bull,1
612,red_bull,1
613,red_bull,1
614,red_bull,1
615,renault,1
616,renault,1
617,mclaren,1
618,manor,1
619,alfa,1
620,alfa,1
621,alphatauri,1
622,alphatauri,1
623,alphatauri,1
624,renault,1
625,mclaren,1
626,mclaren,1
