,season,name,fault
241,2015,Kimi Räikkönen,0
242,2016,Kimi Räikkönen,0
243,2017,Kimi Räikkönen,0
245,2019,Kimi Räikkönen,0
246,2020,Kimi Räikkönen,0
247,2020,Kimi Räikkönen,0
248,2021,Kimi Räikkönen,0
249,2014,Jean-Éric Vergne,1
250,2014,Daniil Kvyat,0
251,2015,Daniil Kvyat,0
252,2016,Daniil Kvyat,0
253,2017,Daniil Kvyat,0
254,2019,Daniil Kvyat,0
255,2020,Daniil Kvyat,0
256,2020,Daniil Kvyat,0
257,2014,Sergio Pérez,0
258,2015,Sergio Pérez,0
259,2016,Sergio Pérez,0
260,2017,Sergio Pérez,0
261,2018,Sergio Pérez,0
262,2019,Sergio Pérez,0
264,2020,Sergio Pérez,0
265,2021,Sergio Pérez,0
266,2014,Adrian Sutil,1
267,2014,Esteban Gutiérrez,1
268,2016,Esteban Gutiérrez,1
269,2014,Max Chilton,0
270,2014,Jules Bianchi,0
271,2014,Romain Grosjean,0
272,2015,Romain Grosjean,0
273,2016,Romain Grosjean,0
274,2017,Romain Grosjean,0
275,2018,Romain Grosjean,0
276,2019,Romain Grosjean,1
277,2020,Romain Grosjean,1
278,2014,Pastor Maldonado,0
279,2015,Pastor Maldonado,0
280,2014,Marcus Ericsson,1
281,2015,Marcus Ericsson,0
282,2016,Marcus Ericsson,0
284,2018,Marcus Ericsson,0
285,2014,Sebastian Vettel,0
286,2015,Sebastian Vettel,0
288,2017,Sebastian Vettel,0
289,2018,Sebastian Vettel,0
290,2019,Sebastian Vettel,0
291,2020,Sebastian Vettel,0
292,2020,Sebastian Vettel,0
293,2021,Sebastian Vettel,0
294,2014,Lewis Hamilton,0
295,2015,Lewis Hamilton,0
296,2016,Lewis Hamilton,0
297,2017,Lewis Hamilton,0
298,2018,Lewis Hamilton,0
299,2019,Lewis Hamilton,0
300,2020,Lewis Hamilton,0
301,2021,Lewis Hamilton,0
302,2014,Felipe Massa,0
303,2015,Felipe Massa,0
304,2016,Felipe Massa,0
305,2017,Felipe Massa,0
306,2014,Kamui Kobayashi,0
307,2014,Daniel Ricciardo,0
308,2015,Daniel Ricciardo,0
309,2016,Daniel Ricciardo,0
310,2017,Daniel Ricciardo,0
313,2020,Daniel Ricciardo,0
314,2020,Daniel Ricciardo,0
315,2021,Daniel Ricciardo,0
316,2015,Will Stevens,0
317,2015,Felipe Nasr,0
318,2016,Felipe Nasr,0
320,2016,Carlos Sainz,1
321,2017,Carlos Sainz,1
322,2018,Carlos Sainz,0
323,2019,Carlos Sainz,1
324,2020,Carlos Sainz,0
325,2020,Carlos Sainz,0
326,2021,Carlos Sainz,0
328,2016,Max Verstappen,0
330,2018,Max Verstappen,1
331,2019,Max Verstappen,0
332,2020,Max Verstappen,0
333,2020,Max Verstappen,1
334,2021,Max Verstappen,0
335,2015,Roberto Merhi,0
337,2017,Jolyon Palmer,0
338,2016,Pascal Wehrlein,0
339,2017,Pascal Wehrlein,0
340,2016,Rio Haryanto,0
341,2016,Stoffel Vandoorne,0
343,2018,Stoffel Vandoorne,0
344,2017,Esteban Ocon,0
345,2018,Esteban Ocon,0
346,2020,Esteban Ocon,0
347,2020,Esteban Ocon,0
348,2021,Esteban Ocon,0
349,2019,Antonio Giovinazzi,0
350,2020,Antonio Giovinazzi,0
351,2020,Antonio Giovinazzi,0
352,2021,Antonio Giovinazzi,0
353,2017,Lance Stroll,1
354,2018,Lance Stroll,0
355,2019,Lance Stroll,0
356,2020,Lance Stroll,1
357,2020,Lance Stroll,0
358,2021,Lance Stroll,0
359,2018,Pierre Gasly,0
360,2019,Pierre Gasly,0
361,2020,Pierre Gasly,0
362,2020,Pierre Gasly,0
363,2021,Pierre Gasly,1
364,2018,Brendon Hartley,0
365,2018,Charles Leclerc,0
366,2019,Charles Leclerc,0
367,2020,Charles Leclerc,0
368,2020,Charles Leclerc,1
369,2021,Charles Leclerc,0
370,2018,Sergey Sirotkin,0
371,2019,Lando Norris,0
372,2020,Lando Norris,0
373,2020,Lando Norris,0
374,2021,Lando Norris,0
375,2019,Alexander Albon,0
376,2020,Alexander Albon,0
377,2020,Alexander Albon,0
378,2019,George Russell,0
379,2020,George Russell,0
380,2020,George Russell,0
381,2021,George Russell,0
382,2019,Robert Kubica,0
383,2020,Nicholas Latifi,0
385,2021,Nicholas Latifi,1
386,2020,Jack Aitken,0
387,2020,Pietro Fittipaldi,0
388,2021,Yuki Tsunoda,0
389,2021,Mick Schumacher,0
390,2021,Nikita Mazepin,1
391,2014,Nico Rosberg,0
392,2015,Nico Rosberg,0
393,2016,Nico Rosberg,0
394,2014,Kevin Magnussen,0
395,2016,Kevin Magnussen,0
396,2017,Kevin Magnussen,0
397,2018,Kevin Magnussen,0
398,2019,Kevin Magnussen,0
399,2014,Jenson Button,0
400,2015,Jenson Button,0
401,2016,Jenson Button,0
402,2014,Fernando Alonso,0
403,2015,Fernando Alonso,0
404,2016,Fernando Alonso,0
406,2018,Fernando Alonso,0
407,2014,Valtteri Bottas,0
408,2015,Valtteri Bottas,0
409,2016,Valtteri Bottas,0
410,2017,Valtteri Bottas,0
411,2018,Valtteri Bottas,0
412,2019,Valtteri Bottas,0
413,2014,Nico Hülkenberg,0
415,2016,Nico Hülkenberg,0
416,2017,Nico Hülkenberg,0
417,2018,Nico Hülkenberg,0
419,2014,Kimi Räikkönen,0
420,2015,Kimi Räikkönen,0
421,2016,Kimi Räikkönen,0
